taxonid,scientific_name,subspecies,rank,subpopulation,category
42641,Abditomys latidens,NA,NA,NA,DD
17879,Abeomelomys sevia,NA,NA,NA,LC
47760825,Abrawayaomys ruschii,NA,NA,NA,LC
42656,Abrocoma bennettii,NA,NA,NA,LC
18,Abrocoma boliviensis,NA,NA,NA,CR
136334,Abrocoma budini,NA,NA,NA,DD
42657,Abrocoma cinerea,NA,NA,NA,LC
136367,Abrocoma famatina,NA,NA,NA,DD
136525,Abrocoma shistacea,NA,NA,NA,LC
136302,Abrocoma uspallata,NA,NA,NA,DD
136546,Abrocoma vaccarum,NA,NA,NA,DD
4803,Abrothrix andinus,NA,NA,NA,LC
735,Abrothrix illutea,NA,NA,NA,LC
4804,Abrothrix jelskii,NA,NA,NA,LC
740,Abrothrix lanosus,NA,NA,NA,LC
743,Abrothrix longipilis,NA,NA,NA,LC
751,Abrothrix olivaceus,NA,NA,NA,LC
754,Abrothrix sanborni,NA,NA,NA,NT
137,Acerodon celebensis,NA,NA,NA,VU
138,Acerodon humilis,NA,NA,NA,EN
139,Acerodon jubatus,NA,NA,NA,EN
140,Acerodon leucotis,NA,NA,NA,VU
142,Acerodon mackloti,NA,NA,NA,VU
219,Acinonyx jubatus,NA,NA,NA,VU
221,Acinonyx jubatus ssp. hecki,hecki,ssp.,NA,CR
220,Acinonyx jubatus ssp. venaticus,venaticus,ssp.,NA,CR
44936,Acomys airensis,NA,NA,NA,LC
263,Acomys cahirinus,NA,NA,NA,LC
264,Acomys cilicicus,NA,NA,NA,DD
265,Acomys cineraceus,NA,NA,NA,LC
136471,Acomys dimidiatus,NA,NA,NA,LC
266,Acomys ignitus,NA,NA,NA,LC
44938,Acomys johannis,NA,NA,NA,LC
267,Acomys kempi,NA,NA,NA,LC
268,Acomys louisae,NA,NA,NA,LC
269,Acomys minous,NA,NA,NA,DD
270,Acomys mullah,NA,NA,NA,LC
271,Acomys nesiotes,NA,NA,NA,DD
272,Acomys percivali,NA,NA,NA,LC
273,Acomys russatus,NA,NA,NA,LC
44939,Acomys seurati,NA,NA,NA,LC
47805694,Acomys spinosissimus,NA,NA,NA,LC
