RegistrationNumber,LabelName,Class,Order,Family,ScientificName,DateTaxonomyCorrected,TaxonomyNotes,TypeStatus,Country,Locality,Latitude,Longitude,Extent_km,Certainty,Type,NOTES,Georeferencer,DateGeoreferenced,Validated
,,Amphibia,Caudata,Hynobiidae,Afghanodon mustersi,Nov-17,,"Holotype of Batrachuperus mustersi Smith, 1940 - Original registration 1940.3.1.1",Afghanistan,"Paghman Range, 9-10,000ft, Afghanistan",34.646535,68.886517,55.23,75%,2.6,"Locality in feet, so converted this to metres (using metric-conversions.org) (converted from 9-10,000ft. to 2743.2m,-3048m to visualise on Google maps) then google mapped ""Paghman Range, Afghanistan"". This returned ""Paghman Mount"" within the range (34.646535, 68.886517) I used this as the midpoint and measured along the mountain range around it to find the furthest point where there are continuous mountains. I also found literature which described the mountain range extent (https://books.google.co.uk/books?id=29bg7g1U6coC&pg=PA13&lpg=PA13&dq=paghman+range+afghanistan&source=bl&ots=boNEEM2KIA&sig=eRGz1pTlIheSGO1JDya4qFkuqwI&hl=en&sa=X&ved=0ahUKEwjSpLC6xbDZAhVpAcAKHZBAAjsQ6AEIWTAJ#v=onepage&q=paghman%20range%20afghanistan&f=false), but unfortunately the exact extent of the range was difficult to determine as this book says ""The Paghman range projects south-westwards to separate the basin of the river helmand from that of the Arhandab and extends into the arid southern Afghanistan"" but it was very difficult to estimate where it separated the basins and how far it extended into the ""arid southern Afghanistan"". So, seeing Paghman Mount is very close to the town of Paghman and is on a mountain range, I have used the mount as the midpoint and measured the extent to the furthest point of the visible range using terrain view on google maps. This makes the extent 55.23 km (extent from midpoint to 35.088478, 69.171955) and within the radius of this, elevation points within the given range will be included. The AMNH also lists these specimens locality information but also adds a little more (http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Hynobiidae/Hynobiinae/Afghanodon/Afghanodon-mustersi), the record for this species explains that Brame, 1972 (Checklist Living & Fossil Salamand. World (Unpubl. MS)) gives the type locality as ""mountain streams of the Paghman Range, above Paghman [=17 mi. W Kabul], at between 9000 and 10,000 feet altitude"", Afghanistan.Ó As ÒPaghman MountÓ is found close to Paghman and near Paghman River and the extent includes these elevations I have set the certainty score at 75% as it is likely the specimen was found within the extent. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Hynobiidae,Afghanodon mustersi,Nov-17,,"Paratype of Batrachuperus mustersi Smith, 1940 - Original registration 1940.3.1.2",Afghanistan,"Paghman Range, 9-10,000ft, Afghanistan",34.646535,68.886517,55.23,75%,2.6,"Locality in feet, so converted this to metres (metric-conversions.org), then google mapped ""Paghman Range, Afghanistan"". This returned ""Paghman Mount"" within the range. Used measure tool to work out mid-point of range (36.695km), locality stated elevation, so extent was measured from central range point to include these parameters (2743.2m-3048m). Certainty score reflects ""BEST GUESS"" methodology, specimens found within mountain range but have limited information on exactly where. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Hynobiidae,Afghanodon mustersi,Nov-17,,"Paratype of Batrachuperus mustersi Smith, 1940 - Original registration 1940.3.1.3",Afghanistan,"Paghman Range, 9-10,000ft, Afghanistan",34.646535,68.886517,55.23,75%,2.6,"Locality in feet, so converted this to metres (metric-conversions.org), then google mapped ""Paghman Range, Afghanistan"". This returned ""Paghman Mount"" within the range. Used measure tool to work out mid-point of range (36.695km), locality stated elevation, so extent was measured from central range point to include these parameters (2743.2m-3048m). Certainty score reflects ""BEST GUESS"" methodology, specimens found within mountain range but have limited information on exactly where. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Hynobiidae,Afghanodon mustersi,Nov-17,,"Paratype of Batrachuperus mustersi Smith, 1940 - Original registration 1940.3.1.4",Afghanistan,"Paghman Range, 9-10,000ft, Afghanistan",34.646535,68.886517,55.23,75%,2.6,"Locality in feet, so converted this to metres (metric-conversions.org), then google mapped ""Paghman Range, Afghanistan"". This returned ""Paghman Mount"" within the range. Used measure tool to work out mid-point of range (36.695km), locality stated elevation, so extent was measured from central range point to include these parameters (2743.2m-3048m). Certainty score reflects ""BEST GUESS"" methodology, specimens found within mountain range but have limited information on exactly where. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Hynobiidae,Afghanodon mustersi,Nov-17,,"Paratype of Batrachuperus mustersi Smith, 1940 - Original registration 1940.3.1.5",Afghanistan,"Paghman Range, 9-10,000ft, Afghanistan",34.646535,68.886517,55.23,75%,2.6,"Locality in feet, so converted this to metres (metric-conversions.org), then google mapped ""Paghman Range, Afghanistan"". This returned ""Paghman Mount"" within the range. Used measure tool to work out mid-point of range (36.695km), locality stated elevation, so extent was measured from central range point to include these parameters (2743.2m-3048m). Certainty score reflects ""BEST GUESS"" methodology, specimens found within mountain range but have limited information on exactly where. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Ambystomatidae,Ambystoma altamirani,Nov-17,,Type of Amblystoma altamirani,Mexico,"Mt. Las Cruces, Mexico",19.360792,-99.415637,40.22,50%,2.6,"It was difficult to georeference a singular point for this location as it described Type locality: ""'Manantiale de los Ajolotes', dans la 'Serran’a de las Cruces' appartenant la Vall_e de M_xico"", Distrito Federal, Mexico, which I translated to ""Spring of the axolotls in the Serrania de las Cruces belonging to the valley of Mexico"" and there was no such location found online for this, the papers which discussed the locality on AMNH were also not accessible. Instead I georeferenced the entire mountain range, using a map provided in the ranges Wikipedia page and matches towns from the top and bottom of the range to the same towns on google maps then measuring the distance between them. Georeferenced from the town of Huitzilac to Las cenizas to cover majority of mountain range as Garc’a-Palomo (2008) (paper describing location) described the range but their coordinates did not match anywhere in the range and the location and maps found on its Wikipedia page the range were not clear. This covered a length of 80.44km, I halved this to get the extent and took the midpoint from the middle locality. Mountain range with unclear boundaries mean that certainty is low, extent should however encompass the range and therefore include the collection point. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Ambystomatidae,Ambystoma jeffersonianum,Nov-17,,"Type of Plethodon persimilis Gray, 1859 - Original registration 1859.7.1.91",USA,"""Siam"" (Thailand) updated to Ambystoma jeffersonianum range (deciduous forests from New England south and south-westward to Indiana, Kentucky, West Virginia) (Petranka, 1998) ",41.373887,-79.642049,1000,25%,2.1,"The case of the Òin errorÓ Siam salamander specimen
This specimen says Siam, but all information regarding it on AMNH.org says this is Òin errorÓ. Authors dispute the locality as ÒLaos MountainsÓ and Òvicinity of New YorkÓ but both are later deemed invalid. This information is found on the Ambystoma jeffersonianum species page, this is a North American species and as such, finding it in ÒSiamÓ (now modern day Thailand) is strange. I checked the original specimen and paper directories and found it was recorded as this locality and was from ÒMr MouhotÓ. 
I found the original book ÒTravels in the central parts of Indo-China (Siam) Cambodia & Laos during the years 1858, 1859, and 1860 (Complete)Ó (Mouhot, 1864) (written based on M. Mouhots travel letters) online, this described Plethodon persimilis as ÒBlack, white-speckled, the specks closer and more abundant on the sides; the hind-toes elongate, unequal. Tail compressedÓ ÒThis is the first species of Newts which has been discovered in Continental India; it is exceedingly like the Pl. glutinosus from North America, but the hind toes are rather longer and more slenderÓ. (Gray, Proc.  Zool. Soc., 1859, p.230, c.tab.). I then looked for further information regarding this species by typing its name into google and finding a post about it on Caudata.org (http://www.caudata.org/forum/f1173-advanced-newt-salamander-topics/f1175-herpetological-science-politics/f1177-taxonomy-phylogenetics-evolution/55985-plethodon-thailand-gray-1859-a.html). This explained how the odd specimen locality had been investigated before and Prof. Barry Clarke had been contacted about it. Unfortunately, his response simply alluded to the information provided on amnh.org. 
Jeff suggested I look at A. jeffersonianum and P. glutinosus Identification information. I looked up salamander species in Thailand using the Òcountry searchÓ feature on Amphibiaweb.org then looked at these species within ÔSalamanders of the old worldÕ (Sparreboom, 2014). The species found in Thailand (Tylotriton sp.) shared very little morphological similarities to P. persimilis. I then looked at A. jeffersonianum and P.glutinosus identification information in ÔSalamanders of the United States and Canada (Petranka, 1998). As suggested by Jeff this provided information regarding the costal grooves which I could then count in erroneous specimen and non-type specimens of A.jeffersonianum and P.glutinosus to look for similarities, according to the books, the former has 12-13 costal grooves and the latter has an average of 16. 
I then retrieved the type specimen (x2 in on jar) (which also said it could be Amblystoma persimile- but both are A. jeffersoanianum on amnh.org) and the best preserved examples of P.glutinosus (1957.1.8.10-12) & A. jeffersonianum (1957.1.7.26-27) and compared their costal groove number to the Plethodon persimilis specimen. As described in the books the A.jeffersonianum had 11/13 (two specimens but amount of costal grooves depend on if limbs counted as suggested in Petranka, (1998)) and the P.glutinosus had over 13 (hard to distinguish as unable to open jar). The type specimensÕ costal grooves were then counted appeared to total 11/13 (depending ifPetranka (1998) followed)( also difficult to distinguish due to state of specimen). To reaffirm the decision that the specimen in error was in fact A.jeffersonianum I checked the author links disputing the specimens localities online (http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Ambystomatidae/Ambystoma/Ambystoma-jeffersonianum). 
Noble (1926) stated that this specimen (described by Gray, 1859) was recognised as A. jeffersonianum and that Boulenger (1882) found differences between the original specimen and the latter, but they (the author) recently examined it and compared it to juvenile A.jeffersonianum specimens and did not find these same morphological differences. Instead they found it to be incredibly similar to A.jeffersonianum and also discussed how the two specimens at the museum are recorded as Òhaving been purchased from ÒMr. StevensÓ and are presumed to have formed part of the collection of reptiles and amphibians made by Mouhot in SiamÓ, they say that Mr. Stevens is probably ÒMr. Samuel StevensÓ whom Mouhot mentions in his book. Mr Stevens was a sales man and auctioneer of natural history objects so Mouhot probably sold his collection to him and it was then sold to the British Museum. The author says the specimens probably werenÕt sent straight from the field to the museum Òbut passed through other handsÓ and that Òanyone who has had much business with even the most careful of natural history dealers knows how frequently specimens are erroneously labelledÓ. They summarise; whilst the P.persimilis specimens could have come from ÒLouang Prahang- the mountainous region of southern Yunnan, into which Mouhot had penetrated at the time of his deathÓ, no amphibian collections have since come from this region (but could be just like cases of discontinuous distribution in Hydromantes, Cryptobranchus and Megalobatrachus), but that the species may exist there. The author does then say that without further data itÕs probable that GrayÕs specimens never came from Siam, but were mislabelled in transit (http://digitallibrary.amnh.org/bitstream/handle/2246/4297//v2/dspace/ingest/pdfSource/nov/N0212.pdf?sequence=1&isAllowed=y).
With evidence from visual checks and the literature I therefore concluded that this specimenÕs locality must be in error and that the best thing to do would be to map the range of Ambystoma jeffersonianum for it. The range is described from (Petranka, 1998) (p.58) where it is described as Òdeciduous forests from New England south and south-westward to Indiana, Kentucky, West VirginiaÓ. So, on google maps I pin pointed the furthest range extent (visually using range map from book) in new Hampshire (43.613725, -71.642527), then measured a line to the furthest point in Indiana (39.324387, -87.532513). This distance was 1.401.18km, which half of was 700.59km. I placed a midpoint at 700.59km (41.373887, -79.642049) between the two points and this also acted as the extent which I traced out across the map to ensure it would encompass all of the described range. The certainty score reflects this georeferenced as a Òbest guessÓ as lack of exact locality data meant species range from different source had to be used instead. I later found that the species range extended to Arkansas, and so extended the extent to 1000km to widen the covered area (http://www.iucn-tftsg.org/wp-content/uploads/file/Articles/Stejneger_and_Barbour_1917.pdf).
",Pawlik,Feb-18,
,,Amphibia,Caudata,Ambystomatidae,Ambystoma jeffersonianum,Nov-17,,"Type of Plethodon persimilis Gray, 1859 - Original registration 1859.7.1.92",USA,"""Siam"" (Thailand) updated to Ambystoma jeffersonianum range (deciduous forests from New England south and south-westward to Indiana, Kentucky, West Virginia) (Petranka, 1998) ",41.373887,-79.642049,1000,25%,2.1,"The case of the Òin errorÓ Siam salamander specimen
This specimen says Siam, but all information regarding it on AMNH.org says this is Òin errorÓ. Authors dispute the locality as ÒLaos MountainsÓ and Òvicinity of New YorkÓ but both are later deemed invalid. This information is found on the Ambystoma jeffersonianum species page, this is a North American species and as such, finding it in ÒSiamÓ (now modern day Thailand) is strange. I checked the original specimen and paper directories and found it was recorded as this locality and was from ÒMr MouhotÓ. 
I found the original book ÒTravels in the central parts of Indo-China (Siam) Cambodia & Laos during the years 1858, 1859, and 1860 (Complete)Ó (Mouhot, 1864) (written based on M. Mouhots travel letters) online, this described Plethodon persimilis as ÒBlack, white-speckled, the specks closer and more abundant on the sides; the hind-toes elongate, unequal. Tail compressedÓ ÒThis is the first species of Newts which has been discovered in Continental India; it is exceedingly like the Pl. glutinosus from North America, but the hind toes are rather longer and more slenderÓ. (Gray, Proc.  Zool. Soc., 1859, p.230, c.tab.). I then looked for further information regarding this species by typing its name into google and finding a post about it on Caudata.org (http://www.caudata.org/forum/f1173-advanced-newt-salamander-topics/f1175-herpetological-science-politics/f1177-taxonomy-phylogenetics-evolution/55985-plethodon-thailand-gray-1859-a.html). This explained how the odd specimen locality had been investigated before and Prof. Barry Clarke had been contacted about it. Unfortunately, his response simply alluded to the information provided on amnh.org. 
Jeff suggested I look at A. jeffersonianum and P. glutinosus Identification information. I looked up salamander species in Thailand using the Òcountry searchÓ feature on Amphibiaweb.org then looked at these species within ÔSalamanders of the old worldÕ (Sparreboom, 2014). The species found in Thailand (Tylotriton sp.) shared very little morphological similarities to P. persimilis. I then looked at A. jeffersonianum and P.glutinosus identification information in ÔSalamanders of the United States and Canada (Petranka, 1998). As suggested by Jeff this provided information regarding the costal grooves which I could then count in erroneous specimen and non-type specimens of A.jeffersonianum and P.glutinosus to look for similarities, according to the books, the former has 12-13 costal grooves and the latter has an average of 16. 
I then retrieved the type specimen (x2 in on jar) (which also said it could be Amblystoma persimile- but both are A. jeffersoanianum on amnh.org) and the best preserved examples of P.glutinosus (1957.1.8.10-12) & A. jeffersonianum (1957.1.7.26-27) and compared their costal groove number to the Plethodon persimilis specimen. As described in the books the A.jeffersonianum had 11/13 (two specimens but amount of costal grooves depend on if limbs counted as suggested in Petranka, (1998)) and the P.glutinosus had over 13 (hard to distinguish as unable to open jar). The type specimensÕ costal grooves were then counted appeared to total 11/13 (depending ifPetranka (1998) followed)( also difficult to distinguish due to state of specimen). To reaffirm the decision that the specimen in error was in fact A.jeffersonianum I checked the author links disputing the specimens localities online (http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Ambystomatidae/Ambystoma/Ambystoma-jeffersonianum). 
Noble (1926) stated that this specimen (described by Gray, 1859) was recognised as A. jeffersonianum and that Boulenger (1882) found differences between the original specimen and the latter, but they (the author) recently examined it and compared it to juvenile A.jeffersonianum specimens and did not find these same morphological differences. Instead they found it to be incredibly similar to A.jeffersonianum and also discussed how the two specimens at the museum are recorded as Òhaving been purchased from ÒMr. StevensÓ and are presumed to have formed part of the collection of reptiles and amphibians made by Mouhot in SiamÓ, they say that Mr. Stevens is probably ÒMr. Samuel StevensÓ whom Mouhot mentions in his book. Mr Stevens was a sales man and auctioneer of natural history objects so Mouhot probably sold his collection to him and it was then sold to the British Museum. The author says the specimens probably werenÕt sent straight from the field to the museum Òbut passed through other handsÓ and that Òanyone who has had much business with even the most careful of natural history dealers knows how frequently specimens are erroneously labelledÓ. They summarise; whilst the P.persimilis specimens could have come from ÒLouang Prahang- the mountainous region of southern Yunnan, into which Mouhot had penetrated at the time of his deathÓ, no amphibian collections have since come from this region (but could be just like cases of discontinuous distribution in Hydromantes, Cryptobranchus and Megalobatrachus), but that the species may exist there. The author does then say that without further data itÕs probable that GrayÕs specimens never came from Siam, but were mislabelled in transit (http://digitallibrary.amnh.org/bitstream/handle/2246/4297//v2/dspace/ingest/pdfSource/nov/N0212.pdf?sequence=1&isAllowed=y).
With evidence from visual checks and the literature I therefore concluded that this specimenÕs locality must be in error and that the best thing to do would be to map the range of Ambystoma jeffersonianum for it. The range is described from (Petranka, 1998) (p.58) where it is described as Òdeciduous forests from New England south and south-westward to Indiana, Kentucky, West VirginiaÓ. So, on google maps I pin pointed the furthest range extent (visually using range map from book) in new Hampshire (43.613725, -71.642527), then measured a line to the furthest point in Indiana (39.324387, -87.532513). This distance was 1.401.18km, which half of was 700.59km. I placed a midpoint at 700.59km (41.373887, -79.642049) between the two points and this also acted as the extent which I traced out across the map to ensure it would encompass all of the described range. The certainty score reflects this georeferenced as a Òbest guessÓ as lack of exact locality data meant species range from different source had to be used instead. I later found that the species range extended to Arkansas, and so extended the extent to 1000km to widen the covered area (http://www.iucn-tftsg.org/wp-content/uploads/file/Articles/Stejneger_and_Barbour_1917.pdf).",Pawlik,Feb-18,
,,Amphibia,Caudata,Cryptobranchidae,Andrias davidianus,Nov-17,,"Type of Megalobatrachus sligoi Boulenger, 1924. Original registration BMNH 1945.11.7.1. (formerly II.1.1.1.a)",China,"Hong Kong, China. Updated to Hong Kong Botanical Gardens",22.278059,114.156402,33.75,75%,2.3,"Dropped midpoint ""pin"" in centre of named place on Google Maps (in the g of ""Hong"" from city name). Then measured extent as distance from midpoint out to the furthest point within the city border (22.216671, 113.835999). Locality disputed- ""presumed in the orginal to have come from the chinese mainland near Hong Kong"" (research.amnh.org). Certainty score reflects location uncertainty, but that specimen should have been found within extent area. After orginally georeferencing this specimen I met Dr. Samuel Turvey from the Institute of Zoology who was at the museum to look at this specimen and compare it to other specimens they had seen in China to decern if it was a new species. Dr. Turvey kindly sent me over a paper which discussed the original locality of ""Andrias Sligoi"" or Megalobatrachus Sligoi, this paper ""A New Giant Salamander"" (Boulenger, 1924) described the specimen being found ""living in captivity in the Botanical Gardens in Hong Kong. This paper describes the holotype and it appears this is the specimen that the museum holds, the paper described how the specimens had been brought over from the mainland and placed in the fountain in the Botanical Gardens. I looked up the gardens and water fountain on Google and Google Maps and could see that, as described in the paper, the botanical gardens were on Hong Kong's offshore Island (https://en.wikipedia.org/wiki/Hong_Kong_Zoological_and_Botanical_Gardens)(https://gwulo.com/node/2916/photos) and that is why specimens were described as being brought over from the mainland. I therefore placed a pin on this location as the new midpoint (updated from 22.320225 114.168284 to 22.278059, 114.156402), but kept the extent as the border of the city (33.75) as all used resources indicate that the specimen would have originated from the mainland around Hong Kong. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Cryptobranchidae,Andrias japonicus,Nov-17,,"Type of Triton japonicus Temminck, 1836. Megalobatrachus sieboldi Tschudi, 1837. Salamandra maxima Schlegel in Tschudi, 1837- Original registration II.I.1.1.b - Lectotype designated by Hoogmoed, M. S. 1978. An annotated review of the salamander types described in the Fauna Japonica. Zoologische Mededelingen. ",Japan,Japan,36.482,138.734,1557.9,100%,2.1,"Looked for further details via specimens and museum paper records, found that both read ""Japan"". AMNH gives further detail: http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Cryptobranchidae/Andrias/Andrias-japonicus, data associated with original specimen is ""Sakanost'a, a small village at the foot of ""mont souzouga yama a 12 Ri environ a L'est de Miyako"" and 'the mountains here called ""suzuka"" and are in the province of Omi 'on the way from Tsuchiyama to Sakanoshita'. However, it is not clear which of the specimens of the type series is from that locality. Hoogmoed (1978) suggests using this locality as type locality but becuase it is not definite and records at the msueum only specify Japan I decided to georeference that using the country midpoint document instead. I was unable to use the normal named place border function on google maps for this locality so instead I looked up a map of Japan to estimate where to draw the extent to (https://www.roughguides.com/maps/asia/japan/). I drew it from the given coordinates out to the furthest point of Okinawa island. This specimen has a high certainty score as the extent is massive, can be certain that specimen was located within this km range. ",Pawlik,Feb-18,
