family,year,source
Salamandridae,1907,GBIF
Plethodontidae,1869,GBIF
Hynobiidae,1873,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1873,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Plethodontidae,1839,GBIF
Plethodontidae,1839,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Hynobiidae,1870,GBIF
Plethodontidae,1906,GBIF
Plethodontidae,1905,GBIF
Plethodontidae,1905,GBIF
Salamandridae,1903,GBIF
Salamandridae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Salamandridae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Salamandridae,1916,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Salamandridae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Salamandridae,1909,GBIF
Salamandridae,1909,GBIF
Salamandridae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1908,GBIF
Plethodontidae,1908,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1911,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1908,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1911,GBIF
Salamandridae,1909,GBIF
Plethodontidae,1908,GBIF
Plethodontidae,1912,GBIF
Plethodontidae,1912,GBIF
Plethodontidae,1912,GBIF
Plethodontidae,1911,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1909,GBIF
Salamandridae,1881,GBIF
Salamandridae,1900,GBIF
Salamandridae,1910,GBIF
Salamandridae,1890,GBIF
Salamandridae,1899,GBIF
Salamandridae,1834,GBIF
Salamandridae,1882,GBIF
Salamandridae,1910,GBIF
Salamandridae,1847,GBIF
Salamandridae,1850,GBIF
Salamandridae,1916,GBIF
Salamandridae,1881,GBIF
Salamandridae,1896,GBIF
Salamandridae,1882,GBIF
Salamandridae,1879,GBIF
Salamandridae,1880,GBIF
Salamandridae,1902,GBIF
Salamandridae,1902,GBIF
Salamandridae,1916,GBIF
Salamandridae,1896,GBIF
Salamandridae,1834,GBIF
Salamandridae,1899,GBIF
Salamandridae,1916,GBIF
Salamandridae,1873,GBIF
Salamandridae,1893,GBIF
Salamandridae,1867,GBIF
Salamandridae,1901,GBIF
Salamandridae,1902,GBIF
Salamandridae,1916,GBIF
Salamandridae,1902,GBIF
Salamandridae,1916,GBIF
Salamandridae,1876,GBIF
Salamandridae,1902,GBIF
Salamandridae,1863,GBIF
Salamandridae,1881,GBIF
Salamandridae,1878,GBIF
Salamandridae,1866,GBIF
Salamandridae,1909,GBIF
Hynobiidae,1902,GBIF
Salamandridae,1853,GBIF
Hynobiidae,1902,GBIF
Hynobiidae,1902,GBIF
Salamandridae,1864,GBIF
Hynobiidae,1878,GBIF
Salamandridae,1888,GBIF
Salamandridae,1870,GBIF
Salamandridae,1875,GBIF
Sirenidae,1877,GBIF
Salamandridae,1877,GBIF
Salamandridae,1896,GBIF
Sirenidae,1877,GBIF
Salamandridae,1865,GBIF
Sirenidae,1862,GBIF
Salamandridae,1846,GBIF
Salamandridae,1896,GBIF
Salamandridae,1882,GBIF
Salamandridae,1852,GBIF
Salamandridae,1883,GBIF
Hynobiidae,1902,GBIF
Sirenidae,1881,GBIF
Salamandridae,1908,GBIF
Salamandridae,1854,GBIF
Salamandridae,1895,GBIF
Salamandridae,1892,GBIF
Salamandridae,1909,GBIF
Salamandridae,1852,GBIF
Salamandridae,1910,GBIF
Salamandridae,1844,GBIF
Salamandridae,1902,GBIF
Salamandridae,1913,GBIF
Salamandridae,1872,GBIF
Proteidae,1881,GBIF
Proteidae,1853,GBIF
Proteidae,1865,GBIF
Salamandridae,1902,GBIF
Salamandridae,1902,GBIF
Plethodontidae,1854,GBIF
Plethodontidae,1859,GBIF
Proteidae,1856,GBIF
Salamandridae,1902,GBIF
Plethodontidae,1859,GBIF
Salamandridae,1894,GBIF
Proteidae,1902,GBIF
Plethodontidae,1857,GBIF
Plethodontidae,1886,GBIF
Salamandridae,1897,GBIF
Proteidae,1858,GBIF
Salamandridae,1837,GBIF
Salamandridae,1902,GBIF
Proteidae,1876,GBIF
Proteidae,1876,GBIF
Salamandridae,1854,GBIF
Salamandridae,1860,GBIF
Proteidae,1912,GBIF
Salamandridae,1881,GBIF
Salamandridae,1897,GBIF
Proteidae,1852,GBIF
Plethodontidae,1875,GBIF
Plethodontidae,1902,GBIF
Hynobiidae,1904,GBIF
Plethodontidae,1887,GBIF
Salamandridae,1886,GBIF
Plethodontidae,1859,GBIF
Salamandridae,1902,GBIF
Plethodontidae,1853,GBIF
Salamandridae,1910,GBIF
Plethodontidae,1856,GBIF
Salamandridae,1884,GBIF
Salamandridae,1900,GBIF
Salamandridae,1877,GBIF
Salamandridae,1897,GBIF
Salamandridae,1903,GBIF
Plethodontidae,1872,GBIF
Plethodontidae,1885,GBIF
Plethodontidae,1874,GBIF
Plethodontidae,1856,GBIF
Plethodontidae,1879,GBIF
Plethodontidae,1914,GBIF
Plethodontidae,1880,GBIF
Plethodontidae,1879,GBIF
Ambystomatidae,1876,GBIF
Ambystomatidae,1897,GBIF
Ambystomatidae,1870,GBIF
Ambystomatidae,1887,GBIF
Ambystomatidae,1895,GBIF
Cryptobranchidae,1881,GBIF
Ambystomatidae,1902,GBIF
Plethodontidae,1877,GBIF
Ambystomatidae,1897,GBIF
Ambystomatidae,1902,GBIF
Ambystomatidae,1897,GBIF
Ambystomatidae,1894,GBIF
Ambystomatidae,1902,GBIF
Ambystomatidae,1880,GBIF
Ambystomatidae,1876,GBIF
Ambystomatidae,1902,GBIF
Ambystomatidae,1902,GBIF
Ambystomatidae,1894,GBIF
Ambystomatidae,1902,GBIF
Amphiumidae,1880,GBIF
Ambystomatidae,1873,GBIF
Ambystomatidae,1854,GBIF
Cryptobranchidae,1885,GBIF
Salamandridae,1793,GBIF
Salamandridae,1873,GBIF
Ambystomatidae,1920,GBIF
Plethodontidae,1903,GBIF
Plethodontidae,1900,GBIF
Plethodontidae,1909,GBIF
Plethodontidae,1918,GBIF
Ambystomatidae,1918,GBIF
Plethodontidae,1899,GBIF
Ambystomatidae,1920,GBIF
Proteidae,1909,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1910,GBIF
Ambystomatidae,1908,GBIF
Salamandridae,1896,GBIF
Salamandridae,1917,GBIF
Plethodontidae,1917,GBIF
Salamandridae,1887,GBIF
Ambystomatidae,1920,GBIF
Ambystomatidae,1899,GBIF
Ambystomatidae,1899,GBIF
Plethodontidae,1919,GBIF
Plethodontidae,1919,GBIF
Salamandridae,1887,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1885,GBIF
Plethodontidae,1917,GBIF
Plethodontidae,1917,GBIF
Ambystomatidae,1909,GBIF
Plethodontidae,1917,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1900,GBIF
Ambystomatidae,1885,GBIF
Ambystomatidae,1917,GBIF
Salamandridae,1900,GBIF
Salamandridae,1917,GBIF
Plethodontidae,1905,GBIF
Salamandridae,1896,GBIF
Ambystomatidae,1901,GBIF
Salamandridae,1918,GBIF
Ambystomatidae,1918,GBIF
Plethodontidae,1909,GBIF
Salamandridae,1917,GBIF
Plethodontidae,1917,GBIF
Salamandridae,1887,GBIF
Plethodontidae,1917,GBIF
Plethodontidae,1919,GBIF
Plethodontidae,1914,GBIF
Ambystomatidae,1920,GBIF
Salamandridae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1917,GBIF
Salamandridae,1909,GBIF
Ambystomatidae,1906,GBIF
Ambystomatidae,1917,GBIF
Salamandridae,1903,GBIF
Ambystomatidae,1918,GBIF
Ambystomatidae,1920,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1917,GBIF
Proteidae,1905,GBIF
Plethodontidae,1920,GBIF
Ambystomatidae,1918,GBIF
Ambystomatidae,1907,GBIF
Ambystomatidae,1920,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1918,GBIF
Ambystomatidae,1891,GBIF
Salamandridae,1905,GBIF
Salamandridae,1896,GBIF
Proteidae,1902,GBIF
Ambystomatidae,1893,GBIF
Ambystomatidae,1915,GBIF
Salamandridae,1917,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1917,GBIF
Salamandridae,1889,GBIF
Salamandridae,1920,GBIF
Ambystomatidae,1920,GBIF
Plethodontidae,1917,GBIF
Plethodontidae,1919,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1917,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1896,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1917,GBIF
Salamandridae,1918,GBIF
Plethodontidae,1920,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1917,GBIF
Salamandridae,1885,GBIF
Ambystomatidae,1920,GBIF
Salamandridae,1908,GBIF
Salamandridae,1918,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1899,GBIF
Salamandridae,1920,GBIF
Plethodontidae,1917,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1914,GBIF
Plethodontidae,1917,GBIF
Ambystomatidae,1907,GBIF
Plethodontidae,1903,GBIF
Ambystomatidae,1917,GBIF
Proteidae,1899,GBIF
Plethodontidae,1919,GBIF
Salamandridae,1896,GBIF
Proteidae,1902,GBIF
Ambystomatidae,1918,GBIF
Ambystomatidae,1917,GBIF
Ambystomatidae,1913,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1917,GBIF
Ambystomatidae,1892,GBIF
Salamandridae,1896,GBIF
Ambystomatidae,1918,GBIF
Ambystomatidae,1920,GBIF
Plethodontidae,1918,GBIF
Ambystomatidae,1908,GBIF
Ambystomatidae,1919,GBIF
Ambystomatidae,1920,GBIF
Plethodontidae,1914,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1920,GBIF
Salamandridae,1919,GBIF
Salamandridae,1918,GBIF
Salamandridae,1905,GBIF
Plethodontidae,1905,GBIF
Ambystomatidae,1905,GBIF
Ambystomatidae,1905,GBIF
Salamandridae,1902,GBIF
Salamandridae,1877,GBIF
Ambystomatidae,1913,GBIF
Ambystomatidae,1920,GBIF
Ambystomatidae,1913,GBIF
Ambystomatidae,1917,GBIF
Plethodontidae,1916,GBIF
Plethodontidae,1916,GBIF
Salamandridae,1913,GBIF
Sirenidae,1913,GBIF
Plethodontidae,1884,GBIF
Plethodontidae,1884,GBIF
Plethodontidae,1884,GBIF
Plethodontidae,1884,GBIF
Plethodontidae,1884,GBIF
Cryptobranchidae,1881,GBIF
Ambystomatidae,1869,GBIF
Plethodontidae,1901,GBIF
Plethodontidae,1901,GBIF
Plethodontidae,1901,GBIF
Plethodontidae,1914,GBIF
Plethodontidae,1909,GBIF
Salamandridae,1876,GBIF
Salamandridae,1907,GBIF
Salamandridae,1920,GBIF
Salamandridae,1873,GBIF
Plethodontidae,1914,GBIF
Salamandridae,1919,GBIF
Salamandridae,1919,GBIF
Salamandridae,1877,GBIF
Salamandridae,1919,GBIF
Salamandridae,1914,GBIF
Salamandridae,1919,GBIF
Salamandridae,1908,GBIF
Salamandridae,1870,GBIF
Rhyacotritonidae,1919,GBIF
Plethodontidae,1917,GBIF
Salamandridae,1919,GBIF
Salamandridae,1870,GBIF
Proteidae,1858,GBIF
Plethodontidae,1920,GBIF
Salamandridae,1909,GBIF
Salamandridae,1919,GBIF
Salamandridae,1876,GBIF
Salamandridae,1917,GBIF
Salamandridae,1918,GBIF
Salamandridae,1879,GBIF
Salamandridae,1907,GBIF
Salamandridae,1907,GBIF
Salamandridae,1907,GBIF
Salamandridae,1870,GBIF
Salamandridae,1878,GBIF
Plethodontidae,1917,GBIF
Salamandridae,1870,GBIF
Salamandridae,1878,GBIF
Ambystomatidae,1918,GBIF
Salamandridae,1869,GBIF
Salamandridae,1908,GBIF
Salamandridae,1909,GBIF
Plethodontidae,1910,GBIF
Plethodontidae,1891,GBIF
Plethodontidae,1834,GBIF
Plethodontidae,1896,GBIF
Plethodontidae,1896,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1903,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1901,GBIF
Ambystomatidae,1810,GBIF
Plethodontidae,1900,GBIF
Ambystomatidae,1870,GBIF
Ambystomatidae,1895,GBIF
Ambystomatidae,1895,GBIF
Ambystomatidae,1895,GBIF
Ambystomatidae,1895,GBIF
Ambystomatidae,1895,GBIF
Ambystomatidae,1895,GBIF
Plethodontidae,1920,GBIF
Plethodontidae,1818,GBIF
Plethodontidae,1912,GBIF
Cryptobranchidae,1914,GBIF
Plethodontidae,1914,GBIF
Plethodontidae,1913,GBIF
Plethodontidae,1911,GBIF
Cryptobranchidae,1909,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1906,GBIF
Plethodontidae,1916,GBIF
Plethodontidae,1913,GBIF
Plethodontidae,1914,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1915,GBIF
Salamandridae,1918,GBIF
Plethodontidae,1915,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1918,GBIF
Plethodontidae,1916,GBIF
