Binomial,AreaHull,AreaOverlaps,PercentOverlaps
Notophthalmus viridescens,891273714358.0332,1573471637069.9194,176.54190982208647
Taricha granulosa,263728250815.1346,184270483102.48303,69.87134769708497
Eurycea longicauda,58430622844.52424,54600226613.024,93.44453978919172
Taricha torosa,87718231423.00319,20492470879.887714,23.3617009228868
Anaxyrus americanus,496272407109.5127,481718029527.30774,97.06726036473084
Anaxyrus boreas,726139847984.1792,464964496663.26184,64.03236207929362
NA,NA,NA,NA
Eurycea bislineata,223188236971.67505,198338427878.40308,88.86598620498728
Hyla arborea,2090328777.135254,2090328777.135254,100
Desmognathus fuscus,2564981554.507966,2490863615.8081994,97.11039096676917
Necturus maculosus,645755630290.6235,314351907474.8994,48.67970060647009
Pseudotriton ruber,14351775529.41101,16764144498.766338,116.80885382029334
NA,NA,NA,NA
