country,colony
Afghanistan,no
Africa,no
Algeria,no
Angola,no
Argentina,no
Australia,yes
Belize,no
Bolivia,yes
Borneo,yes
Bosnia,yes
Botswana,yes
Brazil,no
Cambodia,no
Cameroon,no
Chile,no
China,no
Colombia,no
Costa Rica,no
Cuba,no
Democratic Republic of the Congo,no
Dominican Republic,no
Dutch New Guinea,no
Ecuador,no
Egypt,no
Equatorial Guinea,no
Ethiopia,no
Gabon,no
Gambia,yes
Germany,no
Ghana,yes
Greece,no
Guatemala,no
Guinea,no
Guyana,yes
Haiti,no
Honduras,no
Hong Kong,yes
India,yes
Indonesia,no
Italy,no
Ivory Coast,no
Jamaica,yes
Japan,no
Kenya,yes
Liberia,no
Madagascar,no
Malawi,yes
Malaysia,yes
Mauritius,yes
Mexico,no
Mozambique,no
Myanmar,yes
Nepal,no
New Guinea,no
Niger,no
Nigeria,no
Oman,no
Pakistan,yes
Panama,no
Papua,no
Papua New Guinea,no
Paraguay,no
Peru,no
Philippines,no
Portugal,no
Puerto Rico,no
Republic of the Congo,no
Rhodesia,yes
Senegal,no
Seychelles,yes
Sierra Leone,yes
Slovenia,no
Solomon Islands,yes
Somalia,yes
South Africa,yes
Spain,no
Sri Lanka,yes
Tanzania,yes
Tasmania,yes
Thailand,no
Trinidad,yes
Turkey,no
U.S.A.,yes
Uganda,yes
Uruguay,no
Venezuela,no
Vietnam,no
Virgin Islands (U.S.),no
Yemen,yes
Zambia,yes
Zimbabwe,yes
