order,family,genus,species,type,country,latitude,longitude,Extent,rank,certainty,binomial
Diprotodontia,Macropodidae,Macropus,robustus,Holotype,Australia,-20.945554,130.919363,2365000,1,80,Macropus_robustus
Didelphimorphia,Didelphidae,Caluromys,philander,Holotype,NA,4.126394,-55.911827,282000,3.1,100,Caluromys_philander
Didelphimorphia,Didelphidae,Marmosa,murina,Paralectotype,NA,4.126394,-55.911827,282000,3.1,100,Marmosa_murina
Didelphimorphia,Didelphidae,Marmosa,murina,Holotype,NA,4.126394,-55.911827,282000,3.1,100,Marmosa_murina
Didelphimorphia,Didelphidae,Marmosa,murina,Lectotype,NA,4.126394,-55.911827,282000,3.1,100,Marmosa_murina
Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Lectotype,Australia,-33.337034,151.502963,27640,1,80,Antechinus_stuartii
Diprotodontia,Potoroidae,Bettongia,gaimardi,Holotype,Australia,-42.021389,146.593333,353000,3.1,100,Bettongia_gaimardi
Diprotodontia,Potoroidae,Bettongia,penicillata,Holotype,Australia,-34.349483,138.598461,64374,4.3,80,Bettongia_penicillata
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Holotype,Australia,-34.928571,138.600724,31000,3.3,60,Antechinus_flavipes
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Syntype ?,Australia.,-34.928571,138.600724,2513,3.3,40,Tachyglossus_aculeatus
Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Holotype,Australia,-27.536933,151.984061,2703,3.6,60,Pseudocheirus_peregrinus
Dasyuromorphia,Dasyuridae,Pseudantechinus,mimulus,Holotype,Australia,-19.057778,136.707778,7239,3.3,40,Pseudantechinus_mimulus
Diprotodontia,Macropodidae,Macropus,robustus,Holotype,Australia,-19.057778,136.707778,7239,3.3,40,Macropus_robustus
Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,Holotype,Australia,-19.5,135.75,96390,3.2,80,Sminthopsis_macroura
Didelphimorphia,Didelphidae,Thylamys,pallidior,Holotype,Argentina,-30.086467,-67.588288,118840,4.2,60,Thylamys_pallidior
Didelphimorphia,Didelphidae,Micoureus,constantiae,Holotype,Argentina,-23.565549,-64.384224,42000,3.5,40,Micoureus_constantiae
Didelphimorphia,Didelphidae,Marmosa,robinsoni,Holotype,West Indies,12.116527,-61.679003,18000,3.4,100,Marmosa_robinsoni
Didelphimorphia,Didelphidae,Caluromys,derbianus,Holotype,Colombia,5.106662,-75.940864,693,3.3,40,Caluromys_derbianus
Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Syntype,NA,-6.499989,145.833333,198000,3.6,80,Dendrolagus_goodfellowi
Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Syntype,NA,-6.499989,145.833333,198000,3.6,80,Dendrolagus_goodfellowi
Diprotodontia,Pseudocheiridae,Pseudocheirus,coronatus,Holotype,NA,-1.1725,133.491944,85000,3.6,80,Pseudocheirus_coronatus
Diprotodontia,Pseudocheiridae,Psuedochirulus,schlegeli,Holotype,NA,-1.1725,133.491944,85000,3.6,80,Psuedochirulus_schlegeli
Dasyuromorphia,Dasyuridae,Phascomurexia,naso,Holotype,NA,-1.1725,133.491944,85000,3.6,80,Phascomurexia_naso
Dasyuromorphia,Dasyuridae,Phascolosorex,doriae,Holotype,NA,-1.1725,133.491944,85000,3.6,80,Phascolosorex_doriae
Diprotodontia,Macropodidae,Dendrolagus,dorianus,Syntype,NA,-8.916949,146.968388,33000,3.5,80,Dendrolagus_dorianus
Diprotodontia,Macropodidae,Dendrolagus,dorianus,Syntype,NA,-8.916949,146.968388,33000,3.5,80,Dendrolagus_dorianus
Diprotodontia,Macropodidae,Dendrolagus,dorianus,Syntype,NA,-8.916949,146.968388,33000,3.5,80,Dendrolagus_dorianus
Dasyuromorphia,Dasyuridae,Dasyurus,geoffroii,Holotype,Australia,-33.339049,116.97237,47000,3.5,60,Dasyurus_geoffroii
Dasyuromorphia,Dasyuridae,Myoictis,wallacii,Holotype,NA,-6.194536,134.550213,97000,3.4,100,Myoictis_wallacii
Dasyuromorphia,Dasyuridae,Sminthopsis,virginiae,Holotype,NA,-6.194536,134.550213,97000,3.4,100,Sminthopsis_virginiae
Diprotodontia,Petauridae,Dactylopsila,trivirgata,Holotype,NA,-6.194536,134.550213,97000,3.4,100,Dactylopsila_trivirgata
Diprotodontia,Vombatidae,Lasiorhinus,latifrons,Holotype,Australia,-25.734969,134.489563,2302000,3.1,100,Lasiorhinus_latifrons
Diprotodontia,Vombatidae,Lasiorhinus,latifrons,Holotype,Australia,-25.734969,134.489563,2302000,3.1,100,Lasiorhinus_latifrons
Diprotodontia,Vombatidae,Lasiorhinus,latifrons,Holotype,Australia,-25.734969,134.489563,2302000,3.1,100,Lasiorhinus_latifrons
Diprotodontia,Vombatidae,Lasiorhinus,latifrons,Holotype,Australia,-25.734969,134.489563,2302000,3.1,100,Lasiorhinus_latifrons
Peramelemorphia,Peramelidae,Macrotis,leucura,Holotype,Australia,-25.734969,134.489563,2302000,3.1,100,Macrotis_leucura
Peramelemorphia,Peramelidae,Microperoryctes,longicauda,Holotype,NA,-8.916949,146.968388,33000,3.5,60,Microperoryctes_longicauda
Dasyuromorphia,Dasyuridae,Dasyurus,albopunctatus,Holotype,NA,-8.916949,146.968388,33000,3.5,60,Dasyurus_albopunctatus
Didelphimorphia,Didelphidae,Monodelphis,rubida,Holotype,Brazil,-12.579726,-41.700724,678000,3.2,100,Monodelphis_rubida
Dasyuromorphia,Dasyuridae,Phascomurexia,naso,Holotype,NA,-5.499957,144.750011,163000,3.6,80,Phascomurexia_naso
Didelphimorphia,Didelphidae,Caluromys,derbianus,Holotype,Ecuador,-0.91667,-79.91667,230000,3.6,80,Caluromys_derbianus
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Holotype,Australia,-32.040311,115.955243,12000,3.5,60,Antechinus_flavipes
Peramelemorphia,Peramelidae,Isoodon,auratus,Holotype,Australia,-20.780426,115.402274,15000,3.4,100,Isoodon_auratus
Diprotodontia,Macropodidae,Macropus,robustus,Holotype,Australia,-20.780426,115.402274,15000,3.4,100,Macropus_robustus
Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,Holotype,Australia,-20.780426,115.402274,15000,3.4,100,Lagorchestes_conspicillatus
Diprotodontia,Phalangeridae,Phalanger,ornatus,Holotype,NA,-0.56738,127.510818,50000,3.4,100,Phalanger_ornatus
Diprotodontia,Phalangeridae,Phalanger,ornatus,Holotype,NA,-0.56738,127.510818,50000,3.4,100,Phalanger_ornatus
Diprotodontia,Macropodidae,Lagorchestes,hirsutus,Holotype,Australia,-24.850418,113.1382,15000,3.4,100,Lagorchestes_hirsutus
Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Holotype,Guyana,4.792017,-58.974781,432000,3.1,100,Lutreolina_crassicaudata
Diprotodontia,Pseudocheiridae,Pseudocheirus,cupreus,Holotype,NA,-5.043492,138.661561,87000,3.5,80,Pseudocheirus_cupreus
Diprotodontia,Macropodidae,Petrogale,godmani,Holotype,Australia,-15.668056,145.231944,3474,3.6,80,Petrogale_godmani
Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Holotype,Australia,-20.695979,148.579298,17000,3.2,80,Pseudocheirus_peregrinus
Didelphimorphia,Didelphidae,Micoureus,alstoni,Holotype,Nicaragua,12.0111,-83.7704,3212,3.3,60,Micoureus_alstoni
Didelphimorphia,Didelphidae,Caluromys,derbianus,Holotype,Panama,8.584897,-82.388578,104000,3.2,80,Caluromys_derbianus
Didelphimorphia,Didelphidae,Monodelphis,emiliae,Holotype,Brazil,-2.830389,-55.173096,919,3.4,100,Monodelphis_emiliae
Peramelemorphia,Peroryctidae,Microperoryctes,papuensis,Holotype,NA,-9.95,149.416667,5672,3.6,80,Microperoryctes_papuensis
Didelphimorphia,Didelphidae,Monodelphis,americana,Holotype,West Indies,10.673698,-61.512133,307,3.8,80,Monodelphis_americana
Diprotodontia,Macropodidae,Macropus,robustus,Holotype,Australia,-21.741189,121.983236,1064000,3.2,80,Macropus_robustus
