Country,Birds,Amphibians,Mammals,Reptiles,Fish,Continent
Indonesia,1615,347,670,728,4682,Asia
Brazil,1753,1022,648,807,4521,Americas
China,1240,411,551,478,3330,Asia
Mexico,1081,377,523,916,2602,Americas
Peru,1804,572,467,480,1544,Americas
Colombia,1826,771,442,601,2053,Americas
United States,844,300,440,530,3067,Americas
DR Congo,1087,244,430,294,1480,Africa
India,1180,390,412,689,2465,Asia
Kenya,1034,114,376,280,1045,Africa
Argentina,998,172,374,437,1002,Americas
Ecuador,1588,539,372,444,1098,Americas
Venezuela,1364,360,363,405,1709,Americas
Bolivia,1427,244,363,310,392,Americas
Tanzania,1052,204,359,359,1750,Africa
Australia,705,242,349,1038,4869,Oceania
Malaysia,702,260,336,484,1930,Asia
Cameroon,874,218,335,283,1042,Africa
Uganda,987,60,319,175,264,Africa
Thailand,925,140,311,434,2123,Asia
Russia,256,33,300,89,948,Europe
South Africa,755,128,297,447,2059,Africa
Myanmar,1013,91,294,307,1040,Asia
Viet Nam,823,225,287,463,2411,Asia
Nigeria,854,115,285,199,772,Africa
Angola,905,99,285,245,895,Africa
Sudan,915,14,281,183,477,Africa
Ethiopia,806,65,271,238,170,Africa
Papua New Guinea,717,367,269,273,2807,Oceania
Ghana,681,86,257,181,687,Africa
Cªte d'Ivoire,666,80,252,153,671,Africa
Panama,879,214,246,272,1399,Americas
Mozambique,671,87,236,222,1752,Africa
Guyana,789,135,235,185,982,Americas
Zambia,726,87,234,185,401,Africa
Madagascar,244,311,228,414,1147,Africa
Costa Rica,856,202,227,263,1106,Americas
Guinea,629,74,223,595,979,Africa
Guatemala,706,163,220,262,896,Americas
CAR,711,56,219,198,164,Africa
Laos,690,98,215,170,563,Asia
Honduras,697,122,212,270,1017,Americas
Suriname,698,113,210,58,1041,Americas
French Guiana,707,108,207,166,955,Americas
Nicaragua,675,71,203,198,1071,Americas
Canada,516,46,202,54,1097,Americas
Zimbabwe,623,59,200,190,150,Africa
Congo,606,75,197,344,771,Africa
Pakistan,603,22,191,208,707,Asia
Philippines,569,113,190,207,3291,Asia
Sri Lanka,375,121,117,224,1100,Asia
Gabon,606,96,182,138,774,Africa
Paraguay,691,79,165,184,258,Americas
Japan,439,79,144,98,4020,Asia
Malawi,630,77,189,125,464,Africa
Cuba,317,68,65,175,1099,Americas
Chile,441,63,143,150,766,Americas
Nepal,809,45,182,147,291,Asia
Rwanda,632,40,184,75,76,Africa
Bhutan,609,7,99,62,49,Asia
Mali,562,22,136,356,142,Africa
Iran,471,21,186,332,632,Asia
Somalia,566,35,176,239,832,Africa
Cambodia,509,50,164,186,933,Asia
