Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Polioptila caerulea,152,152,100
NA,NA,NA,NA
Myioborus pictus,185,161,87.02702702702703
NA,NA,NA,NA
Cistothorus palustris,155,153,98.70967741935483
Setophaga coronata,487,455,93.42915811088297
Sialia sialis,327,297,90.82568807339449
NA,NA,NA,NA
Sternula antillarum,16,15,93.75
Turdus migratorius,454,447,98.45814977973568
Toxostoma crissale,55,51,92.72727272727272
Ptychoramphus aleuticus,91,50,54.94505494505495
Bonasa umbellus,90,75,83.33333333333334
Callipepla gambelii,103,79,76.69902912621359
Melanerpes aurifrons,134,119,88.80597014925374
Molothrus aeneus,60,54,90
NA,NA,NA,NA
Sturnella neglecta,3,2,66.66666666666666
Haemorhous purpureus,345,337,97.68115942028986
Baeolophus bicolor,277,208,75.09025270758123
Thryothorus ludovicianus,155,150,96.7741935483871
Troglodytes aedon,286,281,98.25174825174825
Toxostoma rufum,205,195,95.1219512195122
Mimus polyglottos,134,126,94.02985074626866
Catharus fuscescens,172,167,97.09302325581395
Anthus rubescens,37,35,94.5945945945946
Vireo solitarius,198,177,89.39393939393939
Rallus elegans,96,85,88.54166666666666
NA,NA,NA,NA
Chordeiles minor,147,130,88.43537414965986
Cyanocitta cristata,86,82,95.34883720930233
Catharus guttatus,116,111,95.6896551724138
Colaptes auratus,47,42,89.36170212765957
Progne subis,232,162,69.82758620689656
Melospiza melodia,281,272,96.79715302491103
Agelaius phoeniceus,360,357,99.16666666666667
NA,NA,NA,NA
Leiothlypis celata,229,216,94.32314410480349
NA,NA,NA,NA
Peucaea aestivalis,10,10,100
Vireo olivaceus,355,328,92.3943661971831
Tringa solitaria,97,93,95.87628865979381
Colinus virginianus,276,256,92.7536231884058
Rissa tridactyla,40,24,60
Tympanuchus cupido,17,1,5.88235294117647
Sphyrapicus ruber,14,12,85.71428571428571
Ixobrychus exilis,201,185,92.03980099502488
Falco columbarius,123,101,82.11382113821138
Aegolius acadicus,50,49,98
Bubo virginianus,76,75,98.68421052631578
Megascops asio,69,66,95.65217391304348
NA,NA,NA,NA
NA,NA,NA,NA
Melanerpes erythrocephalus,112,95,84.82142857142857
Regulus satrapa,127,125,98.4251968503937
Catharus minimus,75,73,97.33333333333334
Regulus calendula,162,112,69.1358024691358
Certhia americana,65,64,98.46153846153847
Sitta carolinensis,266,239,89.84962406015038
Corvus brachyrhynchos,184,180,97.82608695652173
Eremophila alpestris,367,338,92.09809264305177
Riparia riparia,216,198,91.66666666666666
Poecile atricapillus,366,344,93.98907103825137
Petrochelidon pyrrhonota,254,243,95.66929133858267
Sturnella magna,160,112,70
Spizella pusilla,100,98,98
Molothrus ater,310,305,98.38709677419355
Asio flammeus,201,177,88.05970149253731
Stelgidopteryx serripennis,71,69,97.1830985915493
Dendragapus obscurus,13,6,46.15384615384615
NA,NA,NA,NA
Ixoreus naevius,89,85,95.50561797752809
Haematopus palliatus,28,21,75
Vireo gilvus,115,111,96.52173913043478
Baeolophus inornatus,112,99,88.39285714285714
Aphelocoma californica,106,103,97.16981132075472
Vireo huttoni,195,180,92.3076923076923
Melozone aberti,51,51,100
Perisoreus canadensis,90,70,77.77777777777779
Patagioenas flavirostris,45,39,86.66666666666667
Uria lomvia,112,55,49.107142857142854
Vireo plumbeus,34,28,82.35294117647058
Catharus ustulatus,247,223,90.2834008097166
Cyanocitta stelleri,72,70,97.22222222222221
Salpinctes obsoletus,237,195,82.27848101265823
Lanius ludovicianus,218,215,98.62385321100918
