Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Marmota monax,4,4,100
Didelphis virginiana,18,18,100
Erethizon dorsatus,5,0,0
Isoodon obesulus,8,5,62.5
Tamiasciurus douglasii,56,52,92.85714285714286
Tamiasciurus hudsonicus,12,12,100
Sciurus carolinensis,27,27,100
Tamias townsendii,7,0,0
Otospermophilus beecheyi,62,55,88.70967741935483
Ictidomys tridecemlineatus,33,33,100
Callospermophilus lateralis,37,36,97.2972972972973
Urocitellus columbianus,55,54,98.18181818181819
Reithrodontomys megalotis,119,119,100
Perognathus merriami,6,6,100
Peromyscus maniculatus,1605,1585,98.75389408099689
Reithrodontomys fulvescens,31,31,100
Peromyscus californicus,513,262,51.07212475633528
Peromyscus truei,207,167,80.67632850241546
Peromyscus leucopus,272,255,93.75
Neotoma floridana,41,41,100
Neotoma cinerea,45,45,100
Microtus oeconomus,28,19,67.85714285714286
Microtus oregoni,6,6,100
Myodes gapperi,67,60,89.55223880597015
Microtus ochrogaster,75,66,88
Microtus pennsylvanicus,123,118,95.9349593495935
Synaptomys cooperi,5,5,100
Microtus longicaudus,100,99,99
Geomys bursarius,29,29,100
Thomomys bottae,70,68,97.14285714285714
Lepus americanus,11,11,100
Sylvilagus bachmani,43,33,76.74418604651163
Sylvilagus floridanus,34,34,100
Cryptotis parva,18,18,100
Condylura cristata,23,22,95.65217391304348
Dipodomys deserti,4,1,25
Phenacomys intermedius,6,5,83.33333333333334
Ondatra zibethicus,61,59,96.72131147540983
Martes americana,16,10,62.5
Martes pennanti,5,5,100
Vulpes velox,6,6,100
Eptesicus fuscus,39,39,100
Blarina brevicauda,4,4,100
Sorex trowbridgii,6,6,100
Sorex cinereus,48,46,95.83333333333334
Ovis canadensis,4,2,50
Antilocapra americana,39,38,97.43589743589743
Ursus americanus,6,6,100
Taxidea taxus,4,4,100
Canis latrans,17,17,100
Cynomys ludovicianus,25,23,92
Lynx rufus,5,4,80
Odocoileus hemionus,32,32,100
Glaucomys volans,34,34,100
Bison bison,22,0,0
Callorhinus ursinus,18,11,61.111111111111114
Peromyscus boylii,277,109,39.35018050541516
Loxodontomys micropus,6,4,66.66666666666666
Reithrodon auritus,20,18,90
Microcavia australis,12,10,83.33333333333334
Procyon lotor,9,9,100
Mus musculus,11,11,100
Neovison vison,8,8,100
Perimyotis subflavus,5,5,100
Dipodomys agilis,32,12,37.5
Neotoma albigula,56,50,89.28571428571429
Chaetodipus fallax,5,5,100
Tamias merriami,4,0,0
Sciurus griseus,34,34,100
Scalopus aquaticus,11,11,100
Neotoma mexicana,74,74,100
Lepus californicus,22,22,100
Sciurus arizonensis,5,4,80
Tamias dorsalis,65,0,0
Scapanus latimanus,13,13,100
Microtus californicus,103,103,100
Neotoma lepida,15,3,20
Sorex vagrans,11,11,100
Myotis californicus,18,10,55.55555555555556
Nycticeius humeralis,5,5,100
Artibeus jamaicensis,6,5,83.33333333333334
Ochotona princeps,8,4,50
Lepus townsendii,8,2,25
Sylvilagus audubonii,16,16,100
Marmota flaviventris,23,5,21.73913043478261
Urocitellus beldingi,60,60,100
Ammospermophilus harrisii,10,10,100
Ammospermophilus leucurus,19,19,100
Xerospermophilus tereticaudus,7,7,100
Dipodomys merriami,79,70,88.60759493670885
Dipodomys spectabilis,14,14,100
Oryzomys palustris,25,25,100
Reithrodontomys humulis,21,21,100
Peromyscus crinitus,10,8,80
Ochrotomys nuttalli,21,21,100
Onychomys torridus,27,26,96.29629629629629
Neotoma fuscipes,82,63,76.82926829268293
Microtus pinetorum,16,16,100
Rattus rattus,38,2,5.263157894736842
Zapus princeps,24,24,100
Spilogale putorius,12,1,8.333333333333332
Sciurus aberti,10,7,70
Napaeozapus insignis,14,14,100
Sorex fumeus,12,12,100
Peromyscus eremicus,40,4,10
Sciurus aureogaster,11,10,90.9090909090909
Oligoryzomys fulvescens,23,23,100
Zapus hudsonius,11,11,100
Liomys pictus,61,0,0
Urocyon cinereoargenteus,4,4,100
Apodemus sylvaticus,5,5,100
Microtus arvalis,3,3,100
Talpa europaea,15,15,100
Propithecus diadema,9,0,0
Lasiurus cinereus,4,3,75
Myotis lucifugus,24,24,100
Zygodontomys brevicauda,15,9,60
Perognathus flavus,5,5,100
Parastrellus hesperus,5,0,0
Oryzomys couesi,32,32,100
Sciurus yucatanensis,4,1,25
Tamias speciosus,4,0,0
Chaetodipus hispidus,13,13,100
Sigmodon hispidus,37,37,100
Microtus mexicanus,31,31,100
Reithrodontomys sumichrasti,64,64,100
Peromyscus mexicanus,74,74,100
Reithrodontomys montanus,32,32,100
Geomys pinetis,11,11,100
Peromyscus gossypinus,20,19,95
Sciurus niger,4,4,100
Nasua narica,9,9,100
Cryptotis mexicana,3,3,100
Mephitis macroura,3,3,100
Myotis velifer,8,8,100
Peromyscus melanophrys,26,25,96.15384615384616
Tlacuatzin canescens,5,5,100
Peromyscus levipes,42,0,0
Heteromys desmarestianus,11,9,81.81818181818183
Lepus callotis,3,2,66.66666666666666
Presbytis melalophos,8,0,0
Baiomys musculus,42,42,100
Sciurus deppei,21,21,100
Chaetodipus nelsoni,14,14,100
