gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1838901236,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1869.200,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa adspersa,,SPECIES,Bolitoglossa adspersa (Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375465,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3895,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375464,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3893,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375463,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3885,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375462,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3891,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375459,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3890,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375457,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3887,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375455,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3892,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375454,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3886,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375453,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/1989.3896,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
