ScientificName,Order,Family,NumberTypes,NumberOverlaps,PercentOverlaps
Adenomera marmorata,Anura,Leptodactylidae,1,0,0
Afghanodon mustersi,Caudata,Hynobiidae,5,5,100
Afrixalus brachycnemis,Anura,Hyperoliidae,2,2,100
Afrixalus clarkei,Anura,Hyperoliidae,4,0,0
Afrixalus delicatus,Anura,Hyperoliidae,2,2,100
Afrixalus enseticola,Anura,Hyperoliidae,6,1,16.666666666666664
Afrixalus fornasini,Anura,Hyperoliidae,2,1,50
Afrixalus uluguruensis,Anura,Hyperoliidae,2,1,50
Agalychnis buckleyi,Anura,Hylidae,1,0,0
Aglyptodactylus madagascariensis,Anura,Mantellidae,1,0,0
Altiphrynoides malcolmi,Anura,Bufonidae,34,1,2.941176470588235
Ambystoma altamirani,Caudata,Ambystomatidae,1,1,100
Ambystoma jeffersonianum,Caudata,Ambystomatidae,2,2,100
Amietia angolensis,Anura,Pyxicephalidae,2,1,50
Amietia fuscigula,Anura,Pyxicephalidae,1,0,0
Amietia johnstoni,Anura,Pyxicephalidae,5,0,0
Amietia ruwenzorica,Anura,Pyxicephalidae,2,0,0
Amietia wittei,Anura,Pyxicephalidae,1,0,0
Amnirana darlingi,Anura,Ranidae,1,0,0
Andrias davidianus,Caudata,Cryptobranchidae,1,0,0
Andrias japonicus,Caudata,Cryptobranchidae,2,0,0
Aneides lugubris,Caudata,Plethodontidae,1,1,100
Arthroleptis nikeae,Anura,Arthroleptidae,4,0,0
Arthroleptis stenodactylus,Anura,Arthroleptidae,4,4,100
Arthroleptis tanneri,Anura,Arthroleptidae,9,3,33.33333333333333
Arthroleptis troglodytes,Anura,Arthroleptidae,1,0,0
Arthroleptis xenodactylus,Anura,Arthroleptidae,1,0,0
Atelopus ignescens,Anura,Bufonidae,2,0,0
Balebreviceps hillmani,Anura,Brevicipitidae,1,0,0
Batrachuperus pinchonii,Caudata,Hynobiidae,2,2,100
Batrachyla leptopus,Anura,Leptodactylidae,2,0,0
Bolitoglossa engelhardti,Caudata,Plethodontidae,2,2,100
Bolitoglossa flavimembris,Caudata,Plethodontidae,1,0,0
Bolitoglossa franklini,Caudata,Plethodontidae,2,0,0
Bolitoglossa helmrichi,Caudata,Plethodontidae,1,1,100
Bolitoglossa orestes,Caudata,Plethodontidae,14,0,0
Bolitoglossa peruviana,Caudata,Plethodontidae,1,1,100
Bolitoglossa pesrubra,Caudata,Plethodontidae,2,2,100
Bolitoglossa phalarosoma,Caudata,Plethodontidae,2,0,0
Bolitoglossa platydactyla,Caudata,Plethodontidae,2,2,100
Bolitoglossa salvinii,Caudata,Plethodontidae,1,0,0
Bolitoglossa subpalmata,Caudata,Plethodontidae,16,0,0
